Name,Fathers_name,Address,phone1,phone2,email,backlog,attendance,CGPA,skills,experience
Justine,Mugnolo,38062 E Main St,212-304-9225,212-311-6377,jmugnolo@yahoo.com,0,71,7.5,Web development,3
Eladia,Saulter,3958 S Dupont Hwy #7,201-474-4924,201-365-8698,eladia@saulter.com,1,75,6.5,Cyber security,1
Chaya,Malvin,560 Civic Center Dr,734-928-5182,734-408-8174,chaya@malvin.com,1,60,6,Web development,2
Gwenn,Suffield,3270 Dequindre Rd,631-258-6558,631-295-9879,gwenn_suffield@suffield.org,1,60,6,App development,2
Salena,Karpel,1 Garfield Ave #7,330-791-8557,330-618-2579,skarpel@cox.net,1,75,6,App development,1
Yoko,Fishburne,9122 Carpenter Ave,203-506-4706,203-840-8634,yoko@fishburne.com,1,63,6,Web development,1
Taryn,Moyd,48 Lenox St,703-322-4041,703-938-7939,taryn.moyd@hotmail.com,2,61,7,App development,2
Katina,Polidori,5 Little River Tpke,978-626-2978,978-679-7429,katina_polidori@aol.com,2,67,8,Cyber security,1
Rickie,Plumer,3 N Groesbeck Hwy,419-693-1334,419-313-5571,rickie.plumer@aol.com,2,62,7,Web development,2
Alex,Loader,37 N Elm St #916,253-660-7821,253-875-9222,alex@loader.com,2,70,8,Web development,2
Lashon,Vizarro,433 Westminster Blvd #590,916-741-7884,916-289-4526,lashon@aol.com,2,65,7,Cyber security,1
Lauran,Burnard,66697 Park Pl #3224,307-342-7795,307-453-7589,lburnard@burnard.com,1,61,7,Cyber security,2
Ceola,Setter,96263 Greenwood Pl,207-627-7565,207-297-5029,ceola.setter@setter.org,1,63,6,App development,3
My,Rantanen,8 Mcarthur Ln,215-491-5633,215-647-2158,my@hotmail.com,1,65,6.5,Web development,3
Lorrine,Worlds,8 Fair Lawn Ave,813-769-2939,813-863-6467,lorrine.worlds@worlds.com,1,65,6,App development,1
Peggie,Sturiale,9 N 14th St,619-608-1763,619-695-8086,peggie@cox.net,1,62,6,Web development,2
Marvel,Raymo,9 Vanowen St,979-718-8968,979-809-5770,mraymo@yahoo.com,1,64,7.5,App development,3
Daron,Dinos,18 Waterloo Geneva Rd,847-233-3075,847-265-6609,daron_dinos@cox.net,1,64,7.5,App development,2
An,Fritz,506 S Hacienda Dr,609-228-5265,609-854-7156,an_fritz@hotmail.com,2,63,8.5,Web development,1
Portia,Stimmel,3732 Sherman Ave,908-722-7128,908-670-4712,portia.stimmel@aol.com,2,70,8,Cyber security,1
Rhea,Aredondo,25657 Live Oak St,718-560-9537,718-280-4183,rhea_aredondo@cox.net,2,71,8,Cyber security,2
Benedict,Sama,4923 Carey Ave,314-787-1588,314-858-4832,bsama@cox.net,2,72,8,Cyber security,3
Alyce,Arias,3196 S Rider Trl,209-317-1801,209-242-7022,alyce@arias.org,2,73,8.5,Web development,3
Heike,Berganza,3 Railway Ave #75,973-936-5095,973-822-8827,heike@gmail.com,0,74,6,App development,2
Carey,Dopico,87393 E Highland Rd,317-578-2453,317-441-5848,carey_dopico@dopico.org,0,72,7,Cyber security,1
Dottie,Hellickson,67 E Chestnut Hill Rd,206-540-6076,206-295-5631,dottie@hellickson.org,0,71,6,Cyber security,2
Deandrea,Hughey,33 Lewis Rd #46,336-822-7652,336-467-3095,deandrea@yahoo.com,0,70,8,Web development,3
Kimberlie,Duenas,8100 Jacksonville Rd #7,785-629-8542,785-616-1685,kimberlie_duenas@yahoo.com,0,69,7,Cyber security,1
Martina,Staback,7 W Wabansia Ave #227,407-471-6908,407-429-2145,martina_staback@staback.com,0,68,6.5,Web development,2
Skye,Fillingim,25 Minters Chapel Rd #9,612-508-2655,612-664-6304,skye_fillingim@yahoo.com,0,67,8,Web development,3
Jade,Farrar,6882 Torresdale Ave,803-352-5387,803-975-3405,jade.farrar@yahoo.com,0,63,8.5,App development,3
Charlene,Hamilton,985 E 6th Ave,707-300-1771,707-821-8037,charlene.hamilton@hotmail.com,0,64,7,Cyber security,2
Geoffrey,Acey,7 West Ave #1,847-222-1734,847-556-2909,geoffrey@gmail.com,0,65,7.5,Cyber security,1
Stevie,Westerbeck,26659 N 13th St,949-867-4077,949-903-3898,stevie.westerbeck@yahoo.com,0,67,6.5,Web development,1
Pamella,Fortino,669 Packerland Dr #1438,303-404-2210,303-794-1341,pamella@fortino.com,0,69,7.5,App development,2
Harrison,Haufler,759 Eldora St,203-801-6193,203-801-8497,hhaufler@hotmail.com,0,68,8,Cyber security,3
Johnna,Engelberg,5 S Colorado Blvd #449,425-986-7573,425-700-3751,jengelberg@engelberg.org,0,62,8,Web development,3
Buddy,Cloney,944 Gaither Dr,440-989-5826,440-327-2093,buddy.cloney@yahoo.com,0,65,8,Cyber security,2
Dalene,Riden,66552 Malone Rd,603-315-6839,603-745-7497,dalene.riden@aol.com,1,75,7.5,Web development,1
Jerry,Zurcher,77 Massillon Rd #822,321-518-5938,321-597-2159,jzurcher@zurcher.org,1,75,6,App development,1
Haydee,Denooyer,25346 New Rd,212-792-8658,212-782-3493,hdenooyer@denooyer.org,1,74,6.5,App development,3
Joseph,Cryer,60 Fillmore Ave,714-584-2237,714-698-2170,joseph_cryer@cox.net,1,73,8.5,Web development,3
Deonna,Kippley,57 Haven Ave #90,248-913-4677,248-793-4966,deonna_kippley@hotmail.com,1,74,8.5,App development,3
Raymon,Calvaresi,6538 E Pomona St #60,317-825-4724,317-342-1532,raymon.calvaresi@gmail.com,2,73,6,Cyber security,2
Alecia,Bubash,6535 Joyce St,940-276-7922,940-302-3036,alecia@aol.com,2,74,6,Web development,1
Ma,Layous,78112 Morris Ave,203-721-3388,203-564-1543,mlayous@hotmail.com,2,73,8,Web development,2
Detra,Coyier,96950 Hidden Ln,410-739-9277,410-259-2118,detra@aol.com,2,74,8,Cyber security,3
Terrilyn,Rodeigues,3718 S Main St,504-463-4384,504-635-8518,terrilyn.rodeigues@cox.net,2,75,7,Cyber security,3
Salome,Lacovara,9677 Commerce Dr,804-550-5097,804-858-1011,slacovara@gmail.com,2,72,7,App development,3
Garry,Keetch,5 Green Pond Rd #4,215-979-8776,215-846-9046,garry_keetch@hotmail.com,2,65,8.5,Web development,2
Matthew,Neither,636 Commerce Dr #42,952-651-7597,952-906-4597,mneither@yahoo.com,1,64,7.5,App development,1
Theodora,Restrepo,42744 Hamann Industrial Pky #82,305-936-8226,305-573-1085,theodora.restrepo@restrepo.com,2,62,7.5,Web development,3
Noah,Kalafatis,1950 5th Ave,414-263-5287,414-660-9766,noah.kalafatis@aol.com,2,61,6.5,App development,2
Carmen,Sweigard,61304 N French Rd,732-941-2621,732-445-6940,csweigard@sweigard.com,1,63,6,App development,1
Lavonda,Hengel,87 Imperial Ct #79,701-898-2154,701-421-7080,lavonda@cox.net,2,61,6,Web development,0
Junita,Stoltzman,94 W Dodge Rd,775-638-9963,775-578-1214,junita@aol.com,2,60,6,Cyber security,1
Herminia,Nicolozakes,4 58th St #3519,602-954-5141,602-304-6433,herminia@nicolozakes.org,1,61,6,Cyber security,2
Casie,Good,5221 Bear Valley Rd,615-390-2251,615-825-4297,casie.good@aol.com,1,71,7,Cyber security,2
Reena,Maisto,9648 S Main,410-351-1863,410-951-2667,reena@hotmail.com,1,75,8,Web development,1
Mirta,Mallett,7 S San Marcos Rd,212-870-1286,212-745-6948,mirta_mallett@gmail.com,1,60,7,App development,1
Cathrine,Pontoriero,812 S Haven St,806-703-1435,806-558-5848,cathrine.pontoriero@pontoriero.com,1,60,8,Cyber security,2
Filiberto,Tawil,3882 W Congress St #799,323-765-2528,323-842-8226,ftawil@hotmail.com,2,75,7,Cyber security,1
Raul,Upthegrove,4 E Colonial Dr,619-509-5282,619-666-4765,rupthegrove@yahoo.com,1,63,7,Web development,2
Sarah,Candlish,45 2nd Ave #9759,770-732-1194,770-531-2842,sarah.candlish@gmail.com,2,61,6,Cyber security,2
Lucy,Treston,57254 Brickell Ave #372,508-769-5250,508-502-5634,lucy@cox.net,1,67,6.5,Web development,1
Judy,Aquas,8977 Connecticut Ave Nw #3,269-756-7222,269-431-9464,jaquas@aquas.com,2,62,6,Web development,2
Yvonne,Tjepkema,9 Waydell St,973-714-1721,973-976-8627,yvonne.tjepkema@hotmail.com,1,70,6,App development,3
Kayleigh,Lace,43 Huey P Long Ave,337-740-9323,337-751-2326,kayleigh.lace@yahoo.com,2,65,7.5,Cyber security,3
Felix,Hirpara,7563 Cornwall Rd #4462,717-491-5643,717-583-1497,felix_hirpara@cox.net,1,61,7.5,Cyber security,1
Tresa,Sweely,22 Bridle Ln,314-359-9566,314-231-3514,tresa_sweely@hotmail.com,0,63,8.5,Web development,2
Kristeen,Turinetti,70099 E North Ave,817-213-8851,817-947-9480,kristeen@gmail.com,0,65,8,App development,3
Jenelle,Regusters,3211 E Northeast Loop,813-932-8715,813-357-7296,jregusters@regusters.com,0,65,8,Cyber security,2
Renea,Monterrubio,26 Montgomery St,770-679-4752,770-930-9967,renea@hotmail.com,1,62,8,Web development,1
Olive,Matuszak,13252 Lighthouse Ave,760-938-6069,760-745-2649,olive@aol.com,0,64,8.5,Cyber security,1
Ligia,Reiber,206 Main St #2804,517-906-1108,517-747-7664,lreiber@cox.net,1,64,6,Web development,2
Christiane,Eschberger,96541 W Central Blvd,602-390-4944,602-330-6894,christiane.eschberger@yahoo.com,0,63,7,App development,3
Goldie,Schirpke,34 Saint George Ave #2,207-295-7569,207-748-3722,goldie.schirpke@yahoo.com,1,70,,App development,3
Loreta,Timenez,47857 Coney Island Ave,301-696-6420,301-392-6698,loreta.timenez@hotmail.com,0,71,,Web development,2
Fabiola,Hauenstein,8573 Lincoln Blvd,717-809-3119,717-344-2804,fabiola.hauenstein@hauenstein.org,1,72,6,App development,1
Amie,Perigo,596 Santa Maria Ave #7913,972-419-7946,972-898-1033,amie.perigo@yahoo.com,0,73,8,Cyber security,2
Raina,Brachle,3829 Ventura Blvd,406-318-1515,406-374-7752,raina.brachle@brachle.org,1,74,7,Web development,3
Erinn,Canlas,13 S Hacienda Dr,973-767-3008,973-563-9502,erinn.canlas@canlas.com,0,72,6.5,Web development,1
Cherry,Lietz,40 9th Ave Sw #91,248-980-6904,248-697-7722,cherry@lietz.com,1,71,8,Cyber security,2
Kattie,Vonasek,2845 Boulder Crescent St,216-923-3715,216-270-9653,kattie@vonasek.org,0,70,8.5,Cyber security,3
Lilli,Scriven,33 State St,325-631-1560,325-667-7868,lilli@aol.com,1,69,7,App development,3
Whitley,Tomasulo,2 S 15th St,817-526-4408,817-819-7799,whitley.tomasulo@aol.com,0,68,7.5,Web development,2
Barbra,Adkin,4 Kohler Memorial Dr,718-201-3751,718-732-9475,badkin@hotmail.com,1,67,6.5,App development,1
Hermila,Thyberg,1 Rancho Del Mar Shopping C,401-893-4882,401-885-7681,hermila_thyberg@hotmail.com,0,63,7.5,Web development,1
Jesusita,Flister,3943 N Highland Ave,717-885-9118,717-686-7564,jesusita.flister@hotmail.com,2,64,8,App development,2
Caitlin,Julia,5 Williams St,401-948-4982,401-552-9059,caitlin.julia@julia.org,0,65,8,App development,3
Roosevelt,Hoffis,60 Old Dover Rd,305-622-4739,305-302-1135,roosevelt.hoffis@aol.com,1,67,8,Web development,3
Helaine,Halter,8 Sheridan Rd,201-832-4168,201-412-3040,hhalter@yahoo.com,2,69,7.5,Cyber security,2
Lorean,Martabano,85092 Southern Blvd,210-856-4979,210-634-2447,lorean.martabano@hotmail.com,0,68,6,Cyber security,1
France,Buzick,64 Newman Springs Rd E,718-478-8504,718-853-3740,france.buzick@yahoo.com,2,62,6.5,Cyber security,1
Justine,Ferrario,48 Stratford Ave,909-993-3242,909-631-5703,jferrario@hotmail.com,2,65,8.5,Web development,3
Adelina,Nabours,80 Pittsford Victor Rd #9,216-230-4892,216-937-5320,adelina_nabours@gmail.com,1,75,8.5,App development,3
Derick,Dhamer,87163 N Main Ave,212-304-4515,212-225-9676,ddhamer@cox.net,2,75,6,Cyber security,3
Jerry,Dallen,393 Lafayette Ave,804-762-9576,804-808-9574,jerry.dallen@yahoo.com,1,74,6,Cyber security,2
Leota,Ragel,99 5th Ave #33,706-221-4243,706-616-5131,leota.ragel@gmail.com,2,73,8,Web development,1
Jutta,Amyot,49 N Mays St,337-515-1438,337-991-8070,jamyot@hotmail.com,0,74,8,Cyber security,2
Aja,Gehrett,993 Washington Ave,973-544-2677,973-986-4456,aja_gehrett@hotmail.com,2,73,7,Web development,3
Kirk,Herritt,88 15th Ave Ne,607-407-3716,607-350-7690,kirk.herritt@aol.com,1,74,7,Web development,3
Leonora,Mauson,3381 E 40th Ave,973-412-2995,973-355-2120,leonora@yahoo.com,0,73,8.5,App development,3
Winfred,Brucato,201 Ridgewood Rd,208-252-4552,208-793-4108,winfred_brucato@hotmail.com,2,74,7.5,Cyber security,2
Tarra,Nachor,39 Moccasin Dr,415-411-1775,415-284-2730,tarra.nachor@cox.net,0,75,7.5,Cyber security,1
Corinne,Loder,4 Carroll St,508-942-4186,508-618-7826,corinne@loder.org,1,72,6.5,Web development,3
Dulce,Labreche,9581 E Arapahoe Rd,248-357-8718,248-811-5696,dulce_labreche@yahoo.com,2,65,6,App development,2
Kate,Keneipp,33 N Michigan Ave,920-353-6377,920-355-1610,kate_keneipp@yahoo.com,0,64,6,Cyber security,1
Kaitlyn,Ogg,2 S Biscayne Blvd,410-665-4903,410-773-3862,kaitlyn.ogg@gmail.com,1,62,6,Web development,0
Sherita,Saras,8 Us Highway 22,719-669-1664,719-547-9543,sherita.saras@cox.net,0,61,6,Cyber security,1
Lashawnda,Stuer,7422 Martin Ave #8,419-588-8719,419-399-1744,lstuer@cox.net,1,63,7,Web development,2
Ernest,Syrop,94 Chase Rd,301-998-9644,301-257-4883,ernest@cox.net,0,61,8,App development,2
Nobuko,Halsey,8139 I Hwy 10 #92,508-855-9887,508-897-7916,nobuko.halsey@yahoo.com,1,60,7,App development,1
Lavonna,Wolny,5 Cabot Rd,703-483-1970,703-892-2914,lavonna.wolny@hotmail.com,0,61,8,Web development,1
Lashaunda,Lizama,3387 Ryan Dr,410-678-2473,410-912-6032,llizama@cox.net,1,71,7,App development,2
Mariann,Bilden,3125 Packer Ave #9851,512-223-4791,512-742-1149,mariann.bilden@aol.com,0,75,7,Cyber security,1
Helene,Rodenberger,347 Chestnut St,623-461-8551,623-426-4907,helene@aol.com,1,60,6,Web development,2
Roselle,Estell,8116 Mount Vernon Ave,419-571-5920,419-488-6648,roselle.estell@hotmail.com,0,60,6.5,Web development,2
Samira,Heintzman,8772 Old County Rd #5410,206-311-4137,206-923-6042,sheintzman@hotmail.com,1,75,6,Cyber security,1
Margart,Meisel,868 State St #38,513-617-2362,513-747-9603,margart_meisel@yahoo.com,0,63,6,Cyber security,2
Kristofer,Bennick,772 W River Dr,812-368-1511,812-442-8544,kristofer.bennick@yahoo.com,1,61,7.5,App development,3
Weldon,Acuff,73 W Barstow Ave,847-353-2156,847-613-5866,wacuff@gmail.com,0,67,7.5,Web development,3
Shalon,Shadrick,61047 Mayfield Ave,718-232-2337,718-394-4974,shalon@cox.net,1,62,8.5,App development,1
Denise,Patak,2139 Santa Rosa Ave,407-446-4358,407-808-3254,denise@patak.org,0,70,8,Web development,2
Louvenia,Beech,598 43rd St,310-820-2117,310-652-2379,louvenia.beech@beech.com,2,65,8,App development,3
Audry,Yaw,70295 Pioneer Ct,813-797-4816,813-744-7100,audry.yaw@yaw.org,0,61,8,App development,2
Kristel,Ehmann,92899 Kalakaua Ave,915-452-1290,915-300-6100,kristel.ehmann@aol.com,1,63,8.5,Web development,1
Vincenza,Zepp,395 S 6th St #2,619-603-5125,619-935-6661,vzepp@gmail.com,2,65,6,Cyber security,1
Elouise,Gwalthney,9506 Edgemore Ave,301-841-5012,301-591-3034,egwalthney@yahoo.com,0,65,7,Cyber security,2
Venita,Maillard,72119 S Walker Ave #63,714-523-6653,714-663-9740,venita_maillard@gmail.com,2,62,6,Cyber security,3
Kasandra,Semidey,369 Latham St #500,314-732-9131,314-697-3652,kasandra_semidey@semidey.com,2,64,8,Web development,3
Xochitl,Discipio,3158 Runamuck Pl,512-233-1831,512-942-3411,xdiscipio@gmail.com,1,64,7,App development,2
Maile,Linahan,9 Plainsboro Rd #598,336-670-2640,336-364-6037,mlinahan@yahoo.com,2,63,6.5,Cyber security,1
Krissy,Rauser,8728 S Broad St,631-443-4710,631-288-2866,krauser@cox.net,1,70,8,Cyber security,2
Pete,Dubaldi,2215 Prosperity Dr,201-825-2514,201-749-8866,pdubaldi@hotmail.com,2,71,8.5,Web development,3
Linn,Paa,1 S Pine St,901-412-4381,901-573-9024,linn_paa@paa.com,0,72,7,Cyber security,1
Paris,Wide,187 Market St,404-505-4445,404-607-8435,paris@hotmail.com,2,73,7.5,Web development,2
Wynell,Dorshorst,94290 S Buchanan St,650-473-1262,650-749-9879,wynell_dorshorst@dorshorst.org,1,74,6.5,Web development,3
Quentin,Birkner,7061 N 2nd St,952-702-7993,952-314-5871,qbirkner@aol.com,0,72,7.5,App development,3
Regenia,Kannady,10759 Main St,480-726-1280,480-205-5121,regenia.kannady@cox.net,2,71,8,Cyber security,2
Sheron,Louissant,97 E 3rd St #9,718-976-8610,718-613-9994,sheron@aol.com,0,70,8,Cyber security,1
Izetta,Funnell,82 Winsor St #54,770-844-3447,770-584-4119,izetta.funnell@hotmail.com,1,69,8,Web development,1
Rodolfo,Butzen,41 Steel Ct,507-210-3510,507-590-5237,rodolfo@hotmail.com,2,68,7.5,App development,2
Zona,Colla,49440 Dearborn St,203-461-1949,203-938-2557,zona@hotmail.com,0,67,6,Cyber security,3
Serina,Zagen,7 S Beverly Dr,260-273-3725,260-382-4869,szagen@aol.com,0,63,6.5,Web development,3
Paz,Sahagun,919 Wall Blvd,601-927-8287,601-249-4511,paz_sahagun@cox.net,1,64,8.5,Cyber security,2
Markus,Lukasik,89 20th St E #779,586-970-7380,586-247-1614,markus@yahoo.com,2,65,8.5,Web development,1
Jaclyn,Bachman,721 Interstate 45 S,719-853-3600,719-223-2074,jaclyn@aol.com,2,67,6,App development,1
Cyril,Daufeldt,3 Lawton St,212-745-8484,212-422-5427,cyril_daufeldt@daufeldt.com,1,69,6,App development,3
Gayla,Schnitzler,38 Pleasant Hill Rd,510-686-3407,510-441-4055,gschnitzler@gmail.com,0,68,8,Web development,3
Erick,Nievas,45 E Acacia Ct,773-704-9903,773-359-6109,erick_nievas@aol.com,1,62,8,App development,3
Jennie,Drymon,63728 Poway Rd #1,570-218-4831,570-868-8688,jennie@cox.net,2,65,7,Cyber security,2
Mitsue,Scipione,77 222 Dr,530-986-9272,530-399-3254,mscipione@scipione.com,0,75,7,Web development,1
Ciara,Ventura,53 W Carey St,845-823-8877,845-694-7919,cventura@yahoo.com,1,75,8.5,Web development,2
Galen,Cantres,617 Nw 36th Ave,216-600-6111,216-871-6876,galen@yahoo.com,2,74,7.5,Cyber security,3
Truman,Feichtner,539 Coldwater Canyon Ave,973-852-2736,973-473-5108,tfeichtner@yahoo.com,2,73,7.5,Cyber security,3
Gail,Kitty,735 Crawford Dr,907-435-9166,907-770-3542,gail@kitty.com,1,74,6.5,App development,3
Dalene,Schoeneck,910 Rahway Ave,215-268-1275,215-380-8820,dalene@schoeneck.org,0,73,6,Web development,2
Gertude,Witten,7 Tarrytown Rd,513-977-7043,513-863-9471,gertude.witten@gmail.com,1,74,6,App development,1
Lizbeth,Kohl,35433 Blake St #588,310-699-1222,310-955-5788,lizbeth@yahoo.com,2,73,6,Web development,3
Glenn,Berray,29 Cherry St #7073,515-370-7348,515-372-1738,gberray@gmail.com,0,74,6,App development,2
Lashandra,Klang,810 N La Brea Ave,610-809-1818,610-378-7332,lashandra@yahoo.com,0,75,7,App development,1
Lenna,Newville,987 Main St,919-623-2524,919-254-5987,lnewville@newville.com,0,72,8,Web development,0
Laurel,Pagliuca,36 Enterprise St Se,509-695-5199,509-595-6485,laurel@yahoo.com,0,65,7,Cyber security,1
Mireya,Frerking,8429 Miller Rd,914-868-5965,914-883-3061,mireya.frerking@hotmail.com,2,64,8,Cyber security,2
Annelle,Tagala,5 W 7th St,410-757-1035,410-234-2267,annelle@yahoo.com,0,62,7,Cyber security,2
Dean,Ketelsen,2 Flynn Rd,516-847-4418,516-732-6649,dean_ketelsen@gmail.com,1,61,7,Web development,1
Levi,Munis,2094 Ne 36th Ave,508-456-4907,508-658-7802,levi.munis@gmail.com,2,63,6,App development,1
Sylvie,Ryser,649 Tulane Ave,918-644-9555,918-565-1706,sylvie@aol.com,0,61,6.5,Cyber security,2
Sharee,Maile,2094 Montour Blvd,231-467-9978,231-265-6940,sharee_maile@aol.com,1,65,6,Cyber security,1
Cordelia,Storment,393 Hammond Dr,337-566-6001,337-255-3427,cordelia_storment@aol.com,2,65,6,Web development,2
Mollie,Mcdoniel,8590 Lake Lizzie Dr,419-975-3182,419-417-4674,mollie_mcdoniel@yahoo.com,1,62,7.5,Cyber security,2
Brett,Mccullan,87895 Concord Rd,619-461-9984,619-727-3892,brett.mccullan@mccullan.com,2,64,7.5,Web development,1
Teddy,Pedrozo,46314 Route 130,203-892-3863,203-918-3939,teddy_pedrozo@aol.com,2,64,8.5,Web development,2
Tasia,Andreason,4 Cowesett Ave,201-920-9002,201-969-7063,tasia_andreason@yahoo.com,1,63,8,App development,3
Hubert,Walthall,95 Main Ave #2,330-903-1345,330-566-8898,hubert@walthall.org,2,70,8,Cyber security,3
Arthur,Farrow,28 S 7th St #2824,201-238-5688,201-772-4377,arthur.farrow@yahoo.com,2,71,8,Cyber security,1
Vilma,Berlanga,79 S Howell Ave,616-737-3085,616-568-4113,vberlanga@berlanga.com,2,72,8.5,Web development,2
Billye,Miro,36 Lancaster Dr Se,601-567-5386,601-637-5479,billye_miro@cox.net,1,73,6,App development,3
Glenna,Slayton,2759 Livingston Ave,901-640-9178,901-869-4314,glenna_slayton@cox.net,1,74,7,Cyber security,2
Mitzie,Hudnall,17 Jersey Ave,303-402-1940,303-997-7760,mitzie_hudnall@yahoo.com,1,72,6,Web development,1
Bernardine,Rodefer,2 W Grand Ave,901-901-4726,901-739-5892,bernardine_rodefer@yahoo.com,1,71,8,Cyber security,1
Staci,Schmaltz,18 Coronado Ave #563,626-866-2339,626-293-7678,staci_schmaltz@aol.com,1,70,7,Web development,2
Nichelle,Meteer,72 Beechwood Ter,773-225-9985,773-857-2231,nichelle_meteer@meteer.com,1,69,6.5,App development,3
Janine,Rhoden,92 Broadway,718-228-5894,718-728-5051,jrhoden@yahoo.com,2,68,8,App development,3
Ettie,Hoopengardner,39 Franklin Ave,509-755-5393,509-847-3352,ettie.hoopengardner@hotmail.com,2,67,8.5,Web development,2
Eden,Jayson,4 Iwaena St,410-890-7866,410-429-4888,eden_jayson@yahoo.com,2,63,7,App development,1
Lynelle,Auber,32820 Corkwood Rd,973-860-8610,973-605-6492,lynelle_auber@gmail.com,0,64,7.5,Cyber security,2
Merissa,Tomblin,34 Raritan Center Pky,562-579-6900,562-719-7922,merissa.tomblin@gmail.com,0,65,6.5,Web development,3
Golda,Kaniecki,6201 S Nevada Ave,732-628-9909,732-617-5310,golda_kaniecki@yahoo.com,0,67,7.5,Web development,1
Catarina,Gleich,78 Maryland Dr #146,973-210-3994,973-491-8723,catarina_gleich@hotmail.com,0,69,8,Cyber security,2
Virgie,Kiel,76598 Rd  I 95 #1,303-776-7548,303-845-5408,vkiel@hotmail.com,0,68,8,Cyber security,3
Jolene,Ostolaza,1610 14th St Nw,757-682-7116,757-940-1741,jolene@yahoo.com,1,62,8,App development,3
Keneth,Borgman,86350 Roszel Rd,602-919-4211,602-442-3092,keneth@yahoo.com,1,65,7.5,Web development,2
Rikki,Nayar,1644 Clove Rd,305-968-9487,305-978-2069,rikki@nayar.com,2,75,6,App development,1
Elke,Sengbusch,9 W Central Ave,602-896-2993,602-575-3457,elke_sengbusch@yahoo.com,1,75,6.5,Web development,1
Hoa,Sarao,27846 Lafayette Ave,386-526-7800,386-599-7296,hoa@sarao.org,2,74,8.5,App development,2
Trinidad,Mcrae,10276 Brooks St,415-331-9634,415-419-1597,trinidad_mcrae@yahoo.com,1,73,8.5,App development,3
Mari,Lueckenbach,1 Century Park E,858-793-9684,858-228-5683,mari_lueckenbach@yahoo.com,2,74,6,Web development,3
Selma,Husser,9 State Highway 57 #22,201-991-8369,201-772-7699,selma.husser@cox.net,1,73,6,Cyber security,2
Antione,Onofrio,4 S Washington Ave,909-430-7765,909-665-3223,aonofrio@onofrio.com,2,74,8,Cyber security,1
Luisa,Jurney,25 Se 176th Pl,617-365-2134,617-544-2541,ljurney@hotmail.com,2,73,8,Cyber security,1
Clorinda,Heimann,105 Richmond Valley Rd,760-291-5497,760-261-4786,clorinda.heimann@hotmail.com,2,74,7,Web development,3
Dick,Wenzinger,22 Spruce St #595,310-510-9713,310-936-2258,dick@yahoo.com,0,75,7,App development,3
Ahmed,Angalich,2 W Beverly Blvd,717-528-8996,717-632-5831,ahmed.angalich@angalich.com,0,72,8.5,Cyber security,3
Iluminada,Ohms,72 Southern Blvd,480-293-2882,480-866-6544,iluminada.ohms@yahoo.com,0,65,7.5,Cyber security,2
Joanna,Leinenbach,1 Washington St,561-470-4574,561-951-9734,joanna_leinenbach@hotmail.com,1,64,7.5,Web development,1
Caprice,Suell,90177 N 55th Ave,615-246-1824,615-726-4537,caprice@aol.com,1,62,6.5,Cyber security,2
Stephane,Myricks,9 Tower Ave,859-717-7638,859-308-4286,stephane_myricks@cox.net,1,61,6,Web development,3
Quentin,Swayze,278 Bayview Ave,734-561-6170,734-851-8571,quentin_swayze@yahoo.com,1,63,6,Web development,3
Annmarie,Castros,80312 W 32nd St,936-751-7961,936-937-2334,annmarie_castros@gmail.com,1,61,6,App development,3
Shonda,Greenbush,82 Us Highway 46,973-482-2430,973-644-2974,shonda_greenbush@cox.net,2,65,6,Cyber security,2
Cecil,Lapage,4 Stovall St #72,201-693-3967,201-856-2720,clapage@lapage.com,2,65,7,Cyber security,1
Jeanice,Claucherty,19 Amboy Ave,305-988-4162,305-306-7834,jeanice.claucherty@yahoo.com,2,62,8,Web development,3
Josphine,Villanueva,63 Smith Ln #8343,931-553-9774,931-486-6946,josphine_villanueva@villanueva.com,2,64,7,App development,2
Daniel,Perruzza,11360 S Halsted St,714-771-3880,714-531-1391,dperruzza@perruzza.com,2,64,8,Cyber security,1
Cassi,Wildfong,26849 Jefferson Hwy,847-633-3216,847-755-9041,cassi.wildfong@aol.com,1,63,7,Web development,0
Britt,Galam,2500 Pringle Rd Se #508,215-888-3304,215-351-8523,britt@galam.org,1,70,7,Cyber security,1
Adell,Lipkin,65 Mountain View Dr,973-654-1561,973-662-8988,adell.lipkin@lipkin.com,1,71,6,Web development,2
Jacqueline,Rowling,1 N San Saba,814-865-8113,814-481-1700,jacqueline.rowling@yahoo.com,1,72,6.5,App development,2
Lonny,Weglarz,51120 State Route 18,801-293-9853,801-892-8781,lonny_weglarz@gmail.com,1,73,6,App development,1
Lonna,Diestel,1482 College Ave,910-922-3672,910-200-7912,lonna_diestel@gmail.com,1,74,6,Web development,1
Cristal,Samara,4119 Metropolitan Dr,213-975-8026,213-696-8004,cristal@cox.net,1,72,7.5,App development,2
Kenneth,Grenet,2167 Sierra Rd,517-499-2322,517-867-8077,kenneth.grenet@grenet.org,2,71,7.5,Cyber security,1
Elli,Mclaird,6 Sunrise Ave,315-818-2638,315-474-5570,emclaird@mclaird.com,2,70,8.5,Web development,2
Alline,Jeanty,55713 Lake City Hwy,574-656-2800,574-405-1983,ajeanty@gmail.com,2,69,8,Web development,2
Sharika,Eanes,75698 N Fiesta Blvd,407-312-1691,407-472-1332,sharika.eanes@aol.com,2,68,8,Cyber security,1
Nu,Mcnease,88 Sw 28th Ter,973-751-9003,973-903-4175,nu@gmail.com,2,67,8,Cyber security,2
